network:,wrn,depth,28,Loss:CrossEntropy,Dataset:,cifar100,Optimizer:,kfac,LearningRate:,0.1,BatchSize:,128,EpochRange:,300
Epoch,Train_Loss,Train_Accuracy,Train_Time
1,3.9469223851742954,11.966,525.8
2,3.298143880751432,26.778,1045.9
3,2.8004430175742225,39.834,1574.4
4,2.516405029979813,47.696,2110.5
5,2.3488353176799883,52.37,2652.3
6,2.228042069908298,55.906,3199.5
7,2.1383005188554143,58.89,3743.5
8,2.061600499140942,61.28,4292.8
9,2.002718690716092,62.914,4843.9
10,1.9618505928522485,64.27,5399.7
11,1.5630337612708207,77.346,5957.0
12,1.4400771874600968,81.58,6506.4
13,1.37449854566618,84.038,7057.4
14,1.3214715707027698,85.686,7615.9
15,1.274757241044203,87.624,8175.5
16,1.2332031806106762,89.168,8739.1
17,1.195115288200281,90.482,9292.9
18,1.1599249089770305,91.722,9847.5
19,1.131634247882287,92.708,10403.9
20,1.1049654288669986,93.672,10961.2
21,1.081709645898141,94.446,11520.9
22,1.062084712183384,94.936,12070.8
23,1.0415613550664213,95.816,12624.7
24,1.0262455449384802,96.222,13180.3
25,1.0090165644350564,96.734,13738.0
26,1.0001871314499995,96.972,14297.6
27,0.9906643446144241,97.21,14850.1
28,0.9806372741299212,97.396,15403.1
29,0.9721475144481415,97.662,15957.4
30,0.9654846145673786,97.836,16514.3
31,0.9084961833551412,99.204,17072.9
32,0.8855035680029398,99.628,17623.0
33,0.8770425587968753,99.71,18173.9
34,0.8711288801544462,99.788,18729.6
35,0.8669953084052981,99.816,19287.5
36,0.8645714437565231,99.834,19844.6
37,0.8617104615091973,99.83,20397.1
38,0.8592276724098283,99.86,20949.5
39,0.8567940524167112,99.878,21503.6
40,0.854904725880879,99.89,22058.8
41,0.8532137407366273,99.874,22617.6
42,0.8516543097508228,99.904,23167.4
43,0.8504774482048991,99.884,23720.2
44,0.8493436521581371,99.904,24275.6
45,0.8478589670737381,99.92,24832.3
46,0.8467186283882316,99.906,25391.6
47,0.8454073351972243,99.904,25939.9
48,0.84488252940995,99.92,26493.1
49,0.8429647857880653,99.914,27049.8
50,0.8422331875547424,99.918,27606.0
51,0.8410495951047638,99.932,28164.1
52,0.8405644489676142,99.938,28712.3
53,0.840154879385858,99.928,29265.0
54,0.8399380306758539,99.936,29819.9
55,0.8398943557153882,99.95,30377.6
56,0.8395206390134514,99.944,30935.4
57,0.8396794378300152,99.928,31485.7
58,0.8394922101893998,99.932,32038.5
59,0.8393286869044194,99.934,32591.9
60,0.8391515676627683,99.944,33149.6
61,0.8389048087017615,99.936,33710.0
62,0.8386531170371854,99.946,34259.7
63,0.8382936181009882,99.95,34814.1
64,0.8386429482713684,99.952,35371.1
65,0.8386431533052489,99.944,35926.0
66,0.8385098876855562,99.946,36484.4
67,0.8385496287394667,99.944,37035.2
68,0.8382362208098096,99.938,37587.1
69,0.837664968979633,99.948,38142.9
70,0.8379559186108582,99.946,38701.0
71,0.8377918376946998,99.942,39259.5
72,0.8379754841784992,99.952,39810.0
73,0.8377318873124964,99.94,40361.6
74,0.8373043213963813,99.954,40915.8
75,0.8374622961139435,99.94,41474.1
76,0.8375573681138665,99.932,42034.7
77,0.8378535227092636,99.956,42585.0
78,0.8371283165024369,99.964,43137.3
79,0.8367432964122509,99.952,43691.6
80,0.837000947779097,99.942,44249.1
81,0.8370578237201857,99.952,44807.5
82,0.8368753149076495,99.954,45357.4
83,0.8367392076250842,99.944,45909.6
84,0.8365826225646621,99.95,46463.9
85,0.8362227512137664,99.95,47022.1
86,0.8367670266829488,99.948,47580.7
87,0.8364088160302633,99.944,48130.8
88,0.8363769706862662,99.954,48684.1
89,0.8361064985280147,99.962,49238.6
90,0.8361540831568296,99.954,49794.7
91,0.8358490845126569,99.944,50353.6
92,0.8358908634051643,99.954,50903.7
93,0.8360657103531196,99.95,51457.8
94,0.8355750080264742,99.96,52015.0
95,0.8355547883321562,99.95,52571.5
96,0.8357463805266964,99.954,53128.7
97,0.8349951194680255,99.96,53679.1
98,0.8357191727594342,99.932,54233.3
99,0.8364173594643088,99.936,54788.4
100,0.8355001993191516,99.944,55343.2
101,0.8352980449071625,99.944,55902.6
102,0.8351779825547162,99.95,56453.4
103,0.8352487908909693,99.94,57008.0
104,0.8351417694555219,99.954,57562.4
105,0.8352233608970252,99.952,58121.1
106,0.8350193233746092,99.954,58680.7
107,0.8350843012790241,99.94,59232.6
108,0.8346296779030119,99.966,59785.7
109,0.8349807370654152,99.958,60341.0
110,0.8348617100959543,99.962,60899.2
111,0.8348592772813099,99.95,61456.7
112,0.8348804073565451,99.952,62004.6
113,0.834847622667737,99.958,62555.5
114,0.8352264449419573,99.934,63109.8
115,0.8353110763727857,99.956,63666.5
116,0.8355179179050124,99.944,64226.7
117,0.8351903746804923,99.96,64777.0
118,0.8347946182846109,99.968,65328.9
119,0.8350491955152253,99.94,65883.9
120,0.834968045696883,99.948,66440.6
121,0.8351655643614356,99.948,67000.0
122,0.8352110689253454,99.958,67550.9
123,0.8350692257247008,99.952,68103.8
124,0.8346915793845721,99.956,68659.0
125,0.8347633598405687,99.95,69217.1
126,0.8349733587421114,99.954,69774.3
127,0.835209492374869,99.95,70323.1
128,0.8353262281478824,99.934,70875.4
129,0.8347977966908604,99.956,71432.7
130,0.8352162812067114,99.94,71989.6
131,0.8351874511565089,99.944,72549.1
132,0.8348302722282117,99.958,73100.7
133,0.8350266608435785,99.962,73653.1
134,0.8349705492444051,99.958,74205.4
135,0.8347514160453816,99.964,74762.8
136,0.8351963624320067,99.948,75321.5
137,0.8348416231782235,99.958,75871.1
138,0.8343878453954712,99.96,76422.6
139,0.8346561989211061,99.946,76976.8
140,0.8347105377775323,99.948,77534.4
141,0.8344812320016534,99.954,78092.2
142,0.8352013269958594,99.94,78642.0
143,0.834692117503232,99.966,79192.7
144,0.8350984294091344,99.95,79746.6
145,0.8352939452966461,99.948,80302.6
146,0.8350705722408831,99.954,80862.0
147,0.8349097994587306,99.942,81412.8
148,0.8345539101859187,99.952,81964.8
149,0.8343075500119983,99.966,82518.8
150,0.8348951516553874,99.944,83075.2
151,0.8344012117751723,99.95,83635.8
152,0.8344095786819068,99.966,84185.2
153,0.8349104703539778,99.962,84735.3
154,0.8349454104138152,99.946,85290.0
155,0.834482444216833,99.944,85849.2
156,0.8349934650199188,99.948,86406.6
157,0.8347257576940005,99.946,86955.7
158,0.8342840214214666,99.948,87506.8
159,0.8346782715424247,99.948,88060.5
160,0.8350699922007978,99.954,88617.2
161,0.8347971678694801,99.956,89176.2
162,0.8349614525999864,99.952,89727.2
163,0.8346733255764408,99.948,90279.1
164,0.8345892900396186,99.956,90833.3
165,0.834736512445123,99.968,91389.1
166,0.8347283717616439,99.96,91948.6
167,0.8348269714114002,99.956,92498.9
168,0.8346085589560096,99.952,93051.5
169,0.8348397659828596,99.95,93605.4
170,0.8344325081771596,99.968,94163.5
171,0.8349644694181965,99.956,94721.6
172,0.8351883735803082,99.96,95271.4
173,0.8344716008971719,99.954,95825.6
174,0.8342753238690174,99.956,96380.8
175,0.8344067015001536,99.962,96940.5
176,0.8347579161529346,99.948,97502.2
177,0.8345415612011005,99.958,98052.4
178,0.8349297673196134,99.952,98603.5
179,0.8345049734005843,99.956,99158.1
180,0.8348736435251163,99.954,99714.8
181,0.8346812180850817,99.958,100272.5
182,0.8344977609336833,99.964,100824.7
183,0.8349826540178655,99.952,101378.6
184,0.834916357951396,99.956,101934.0
185,0.834554326808666,99.95,102491.7
186,0.8345457204162617,99.956,103049.4
187,0.8338249054406305,99.96,103601.1
188,0.8343254667718697,99.962,104151.5
189,0.8349152089994581,99.954,104705.9
190,0.8345498726191118,99.95,105263.2
191,0.8344003997190529,99.97,105821.1
192,0.8348950478426941,99.96,106371.9
193,0.834432838670433,99.958,106925.0
194,0.83476524142658,99.95,107477.8
195,0.834925540572847,99.944,108033.2
196,0.8345212155900648,99.964,108592.5
197,0.8346856446827159,99.954,109143.1
198,0.8343877161250395,99.972,109696.0
199,0.834569841394644,99.962,110252.1
200,0.8345865088960399,99.95,110809.8
201,0.8346555042449776,99.952,111366.4
202,0.8343526563985878,99.952,111917.5
203,0.8346611426004669,99.932,112469.3
204,0.8346036794545401,99.952,113019.4
205,0.8341025620165383,99.966,113576.7
206,0.8344314032808289,99.968,114136.4
207,0.8343363660375785,99.956,114685.0
208,0.8348204080406052,99.944,115238.3
209,0.8344589389498581,99.946,115792.9
210,0.8347717131800054,99.952,116349.6
211,0.8348366967247575,99.96,116910.0
212,0.8344995150785617,99.968,117460.9
213,0.8345942273164344,99.952,118014.3
214,0.8343638671023766,99.974,118569.2
215,0.8347413823427752,99.96,119125.6
216,0.8345401567571303,99.968,119683.7
217,0.8347477539421042,99.944,120234.3
218,0.8348391269478956,99.94,120785.9
219,0.8346246671493706,99.958,121345.3
220,0.834527961128508,99.964,121901.2
221,0.8345916470908143,99.944,122462.2
222,0.8343723927007611,99.968,123012.0
223,0.8347383402192684,99.952,123563.9
224,0.8345039945734126,99.954,124117.9
225,0.8345186874994537,99.962,124673.2
226,0.8346953030742342,99.938,125234.1
227,0.8342371560118692,99.958,125783.4
228,0.8347286261865855,99.952,126333.7
229,0.8347274176300029,99.954,126887.3
230,0.8344991568409269,99.96,127443.0
231,0.8348072566034849,99.948,128001.9
232,0.8341780070148771,99.966,128552.5
233,0.8346516095158999,99.97,129104.3
234,0.8341615738161384,99.956,129660.0
235,0.8343171599271048,99.964,130217.5
236,0.8347113774255719,99.964,130775.3
237,0.8348499967923859,99.964,131323.7
238,0.8348787565670355,99.962,131875.9
239,0.83475298787017,99.95,132430.0
240,0.8345100649482454,99.956,132986.0
241,0.8345262830519615,99.962,133543.5
242,0.8345644859706655,99.956,134095.4
243,0.8346931408433353,99.956,134646.6
244,0.8343680237260316,99.962,135201.4
245,0.8351230767681775,99.958,135756.7
246,0.8344333668803925,99.948,136315.3
247,0.8343225531565869,99.962,136866.6
248,0.8345599290355087,99.952,137419.2
249,0.8348711526302426,99.956,137973.1
250,0.8344265124986848,99.954,138529.2
251,0.834875059859527,99.962,139088.1
252,0.8350071021358071,99.962,139635.8
253,0.8344856858863245,99.954,140187.7
254,0.8344551212037615,99.952,140741.8
255,0.8351439882422347,99.958,141299.5
256,0.8344789481224002,99.958,141858.3
257,0.8344984537805132,99.958,142408.2
258,0.8341759929571615,99.968,142961.1
259,0.8348942540795602,99.948,143515.9
260,0.8342178255090933,99.952,144074.9
261,0.8344882308979473,99.958,144634.2
262,0.8347013399119267,99.96,145185.3
263,0.8343473762807334,99.958,145736.6
264,0.8343540044391856,99.95,146288.5
265,0.8345444074372197,99.956,146843.3
266,0.8344902509008832,99.966,147403.3
267,0.8349339968103278,99.948,147953.8
268,0.8343397034403613,99.968,148507.3
269,0.8346968765758798,99.952,149060.8
270,0.8346322909035646,99.95,149617.9
271,0.8347311350695618,99.948,150178.3
272,0.8345999138434524,99.962,150729.7
273,0.8344349524249202,99.964,151283.4
274,0.8350710521268723,99.938,151836.0
275,0.834721869977234,99.95,152393.4
276,0.8343007838939462,99.96,152953.0
277,0.8346983951985684,99.954,153504.1
278,0.8344916157100511,99.968,154055.8
279,0.8341673097342176,99.958,154610.0
280,0.8343932782597554,99.96,155165.4
281,0.8345764957730423,99.962,155726.7
282,0.8346575231808225,99.954,156276.8
283,0.8346300428480748,99.944,156828.6
284,0.8346851570222079,99.958,157383.9
285,0.8347172970357148,99.962,157940.7
286,0.8349166276204921,99.944,158500.1
287,0.8343353036724394,99.952,159049.6
288,0.8344833792932808,99.97,159600.8
289,0.8347809294910382,99.94,160154.6
290,0.8343427655337107,99.966,160710.3
291,0.8346696413691391,99.95,161269.8
292,0.8345598066249467,99.954,161819.9
293,0.8343838407560382,99.944,162373.6
294,0.8348655784526444,99.966,162927.8
295,0.8348438503492214,99.948,163484.2
296,0.8343879062196483,99.964,164045.1
297,0.8344580642402629,99.964,164594.9
298,0.834514039404252,99.956,165149.0
299,0.8347027986250874,99.96,165703.7
300,0.8345837539724071,99.958,166261.2
